horizon,mse,rmse,mae,mape,mdape,smape,coverage
0 days 17:00:00,1.4860594935253513,1.2190403986436837,0.9886941924074382,0.3416688796699855,0.206990546877294,0.2706034580639894,0.735261829932274
0 days 18:00:00,1.5228995954653062,1.2340581815560019,1.002620868340826,0.3495034055194781,0.21109252913937793,0.27560602124672545,0.7292705059536985
0 days 19:00:00,1.5608202168747078,1.2493279060657805,1.01741358255161,0.35820315023989374,0.21443115623837183,0.28119058969580596,0.7216491080518791
0 days 20:00:00,1.5986535581006929,1.2643787241569249,1.0317706333314343,0.3668990068162031,0.21956715262284446,0.2867401190889311,0.715586959408614
0 days 21:00:00,1.6347541006104807,1.278575027368547,1.0455235681575692,0.3752662927920689,0.2235403560919228,0.29220194165237373,0.7094174671329291
0 days 22:00:00,1.66972404585419,1.2921780240563565,1.059160354360395,0.38364036759856757,0.22774959900847513,0.2977304469690379,0.7041200035412333
0 days 23:00:00,1.6998235008296418,1.3037727949415274,1.0698717083691363,0.3912260408587057,0.23227609285491835,0.302295802374207,0.7007447656146253
1 days 00:00:00,1.722291008287529,1.3123608529240458,1.077578912889469,0.3957844443508482,0.23597680125821074,0.30534699031823953,0.6985680138108096
1 days 01:00:00,1.7350276428780365,1.3172044802831626,1.081413384300235,0.3974065788014414,0.23622909531548086,0.3066148619037907,0.6982415563720066
1 days 02:00:00,1.7325358114294405,1.316258261675664,1.0798540110215038,0.39506654575987804,0.23677831582029635,0.3055066313644224,0.6995130804302598
1 days 03:00:00,1.7245505681598485,1.3132214467331276,1.0762371747689112,0.3910174062271406,0.23565346278566673,0.30340203505173535,0.7012903368598115
1 days 04:00:00,1.7214131936104955,1.3120263692512035,1.0729153204159596,0.3878808105410832,0.23432755478142597,0.3014096625447412,0.7014364127307335
1 days 05:00:00,1.7222704863023057,1.3123530341727052,1.070049300970136,0.38574181395111856,0.23229813136613592,0.29962455887904266,0.7018735337081138
1 days 06:00:00,1.7233351643558021,1.3127586085628242,1.0673463174212552,0.38336386932127847,0.22795240462692004,0.2978760016346786,0.7035401265990882
1 days 07:00:00,1.7272830997364068,1.314261427470352,1.065686410612303,0.3812794611983238,0.22676404925243576,0.29646750067245314,0.7018713204373423
1 days 08:00:00,1.7331581171040389,1.3164946323870974,1.0648434535927997,0.38028305700341286,0.22527323121950804,0.2955363482663052,0.7026725244566421
1 days 09:00:00,1.741626578868607,1.3197070049327642,1.065890669717274,0.3802291684920054,0.22379533306528782,0.2953406657625435,0.7028186003275642
1 days 10:00:00,1.7484312124446786,1.322282576624482,1.066909917324635,0.38070374832812215,0.22304712244345862,0.29538295719928775,0.7026371121242974
1 days 11:00:00,1.7526502338715924,1.3238769708215308,1.0674866280447848,0.3810636268931119,0.22288258006869754,0.2955002287245313,0.7014397326368907
1 days 12:00:00,1.7611802075227883,1.3270946490445918,1.0701204785306324,0.3825842885192017,0.22361920429222443,0.2964098245157297,0.7003496967819043
1 days 13:00:00,1.762671540793906,1.3276564091638716,1.0712314815335475,0.38287226293908944,0.22253402459648308,0.2968934763766535,0.6983533265459696
1 days 14:00:00,1.761114672881633,1.327069957794853,1.0705775696450472,0.38212400452136625,0.22240848902383298,0.29665985112562365,0.6974824044973662
1 days 15:00:00,1.7558608245400729,1.3250889874042697,1.0690267538199867,0.3802702232537864,0.22219016273042638,0.29584011687172823,0.6971913593909079
1 days 16:00:00,1.7477922075075032,1.3220409250501677,1.068661749063758,0.3767372966537524,0.2235924168697375,0.2951366380707167,0.6975897481297861
1 days 17:00:00,1.7484226328974,1.3222793324019702,1.0714511123516894,0.37623837188632375,0.22406792435826806,0.2959860023162073,0.695737240494002
1 days 18:00:00,1.7623183608705515,1.3275233937187516,1.077312964845693,0.38017834754617497,0.2267633605431104,0.2986126150368917,0.6914888672480192
1 days 19:00:00,1.7903358730186227,1.3380343317787562,1.0874527256792097,0.38711000130367185,0.23006833579765934,0.3031594094781021,0.6862257093532823
1 days 20:00:00,1.815308875874532,1.3473339882429047,1.0961135907302009,0.3921572729426695,0.23337417410957118,0.30699693897467717,0.6824155637200655
1 days 21:00:00,1.8470507237907205,1.3590624429328921,1.106165981988222,0.39960797331600373,0.23738469308039412,0.3117092748011795,0.6781694037448541
1 days 22:00:00,1.8710877385589264,1.3678770919051633,1.1144679538906648,0.4059531549094139,0.24124650398510022,0.31588721373311596,0.6743935638085963
1 days 23:00:00,1.8881882165222625,1.3741136112135206,1.1207175148163333,0.40976015240248687,0.24207652609737973,0.31896874241101975,0.669967022265504
2 days 00:00:00,1.8966382974347098,1.3771849176616442,1.1240315652809196,0.4108292077850286,0.24454826768448643,0.320565555703844,0.6678599884909919
